City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Date
port elizabeth,-33.918,25.5701,75.2,57.0,0.0,ZA,14.97,1611929464.0
vanimo,-2.6741,141.3028,79.59,85.0,100.0,PG,10.27,1611929464.0
ushuaia,-54.8,-68.3,39.2,81.0,40.0,AR,19.57,1611929464.0
jamestown,42.097,-79.2353,18.0,79.0,90.0,US,10.36,1611929465.0
hobart,-42.8794,147.3294,62.6,88.0,90.0,AU,9.22,1611929465.0
lebu,-37.6167,-73.65,59.31,97.0,96.0,CL,6.13,1611929465.0
apango,17.7333,-99.3333,66.0,60.0,100.0,MX,1.68,1611929465.0
carutapera,-1.195,-46.02,86.7,62.0,54.0,BR,8.77,1611929465.0
hamilton,39.1834,-84.5333,23.0,93.0,1.0,US,1.59,1611929466.0
hilo,19.7297,-155.09,68.0,88.0,90.0,US,14.97,1611929466.0
shieli,44.1667,66.75,29.08,90.0,0.0,KZ,8.48,1611929466.0
mataura,-46.1927,168.8643,48.0,80.0,55.0,NZ,8.01,1611929466.0
dergachi,51.2328,48.7659,27.23,99.0,100.0,RU,3.74,1611929466.0
butaritari,3.0707,172.7902,80.58,77.0,100.0,KI,17.34,1611929466.0
morant bay,17.8815,-76.4093,81.0,74.0,20.0,JM,8.05,1611929467.0
manggar,-2.8833,108.2667,78.94,83.0,100.0,ID,12.55,1611929467.0
patnanungan,14.7833,122.1833,75.72,77.0,37.0,PH,25.14,1611929467.0
saldanha,-33.0117,17.9442,68.2,68.0,0.0,ZA,17.54,1611929467.0
dudinka,69.4058,86.1778,-34.06,78.0,14.0,RU,7.16,1611929467.0
busselton,-33.65,115.3333,68.0,77.0,0.0,AU,1.99,1611929467.0
sinop,41.7711,34.8709,44.6,45.0,0.0,TR,4.61,1611929372.0
santander,43.4647,-3.8044,61.0,94.0,20.0,ES,3.44,1611929367.0
naze,28.3667,129.4833,49.59,75.0,61.0,JP,16.02,1611929468.0
cape town,-33.9258,18.4232,77.0,47.0,0.0,ZA,17.27,1611929468.0
ngunguru,-35.6167,174.5,54.0,84.0,3.0,NZ,8.12,1611929468.0
arlit,18.7369,7.3853,85.44,12.0,48.0,NE,9.46,1611929468.0
visnes,59.3556,5.2242,34.0,64.0,40.0,NO,6.91,1611929469.0
sarangani,5.4033,125.4636,81.79,77.0,100.0,PH,21.07,1611929469.0
atuona,-9.8,-139.0333,78.17,77.0,8.0,PF,19.71,1611929469.0
mackenzie,55.2999,-123.1698,-2.2,78.0,90.0,CA,5.75,1611929469.0
bethel,41.3712,-73.414,10.4,61.0,90.0,US,14.97,1611929261.0
coihaique,-45.5752,-72.0662,53.6,50.0,40.0,CL,4.61,1611929470.0
punta arenas,-53.15,-70.9167,46.4,53.0,75.0,CL,13.8,1611929470.0
qaanaaq,77.484,-69.3632,-13.86,59.0,0.0,GL,5.53,1611929470.0
roma,43.2128,-75.4557,3.2,66.0,1.0,US,14.97,1611929470.0
avarua,-21.2078,-159.775,77.0,94.0,20.0,CK,6.91,1611929470.0
awbari,26.5921,12.7805,70.7,23.0,0.0,LY,6.49,1611929470.0
chuy,-33.6971,-53.4616,77.54,71.0,45.0,UY,2.93,1611929471.0
san luis,-33.295,-66.3356,78.13,47.0,4.0,AR,0.16,1611929471.0
sao filipe,14.8961,-24.4956,78.91,48.0,100.0,CV,8.32,1611929471.0
salinopolis,-0.6136,-47.3561,83.21,76.0,51.0,BR,12.26,1611929471.0
